fsq_id,category_id,chains,distance,latitude,longitude,location_country,location_cross_street,location_formatted_address,location_locality,location_postcode,location_region,location_timezone,name,bike_station_id
4aa7ea42f964a520f94d20e3,13065,[],198,49.263609,-123.129859,CA,btwn Spruce and Alder,"1133 Broadway W (btwn Spruce and Alder), Vancouver BC V6H 1G1",Vancouver,V6H 1G1,BC,America/Vancouver,Tojo's Restaurant,3aed670ccdcd94b966c0f505f8b028c7
7ad7677d34834b7f893078f8,13065,[],182,49.265885,-123.128756,CA,,"2246 Spruce St, Vancouver BC V6H 2P3",Vancouver,V6H 2P3,BC,,BC Restaurant & Food Services Association,3aed670ccdcd94b966c0f505f8b028c7
263ee090f4b44a5e4742e8d8,13065,[],197,49.263841,-123.132799,CA,,"1245 Broadway W, Vancouver BC V6H 1G7",Vancouver,V6H 1G7,BC,,Kaman Kwok Inc,3aed670ccdcd94b966c0f505f8b028c7
545447e8498e88d56f84cb6b,13065,[],197,49.275755,-123.109158,CA,,"750 Pacific Blvd, Vancouver BC V6B 5E7",Vancouver,V6B 5E7,BC,America/Vancouver,Harbour Event Centre,1648ead5ea617d2cea115869d9516f5e
4aab0973f964a520a65820e3,13065,[],63,49.276955,-123.081676,CA,at Glen Dr,"1033 Venables St (at Glen Dr), Vancouver BC V6A 3R9",Vancouver,V6A 3R9,BC,America/Vancouver,La Casa Gelato,91035fe1d70b65c9cb8ec4a007af7c7f
5815754438fada27f6999ae5,13065,[],79,49.276934,-123.080701,CA,,"1123 Venables St, Vancouver BC V6A 2E3",Vancouver,V6A 2E3,BC,America/Vancouver,Luppolo Brewing Co,91035fe1d70b65c9cb8ec4a007af7c7f
5973f2976e46504a8bc6ebff,13065,[],167,49.282756,-123.092067,CA,,"566 Powell St, Vancouver BC V6A 1G9",Vancouver,V6A 1G9,BC,America/Vancouver,Dosanko,1ef5c4ff3f0b09422bb1597fd9d7568b
5398bf21498e67ef85f27013,13065,[],198,49.283184,-123.093564,CA,Jackson St,"477 Powell St (Jackson St), Vancouver BC V6A 1G7",Vancouver,V6A 1G7,BC,America/Vancouver,Gorilla Food,1ef5c4ff3f0b09422bb1597fd9d7568b
4dec007c18386283a40df77c,13065,[],127,49.267653,-123.074154,CA,McSpadden Avenue,"Commercial Dr (McSpadden Avenue), Vancouver BC",Vancouver,,BC,America/Vancouver,PazzaRella Pizza,475627e149c1a6ba73caac8d8d2fa617
61bba0ac726dd31bcdf7852c,13065,[],181,49.266083,-123.084323,CA,,"891 Great Northern Way, Vancouver BC V5T 1E1",Vancouver,V5T 1E1,BC,America/Vancouver,Steve’s Poké Bar,17a3320a52bcc62161908967f8a06613
4cf3fd1e6c29236affdd73a2,13065,[],97,49.279449,-123.065416,CA,,"562 Victoria Dr, Vancouver BC V5L 4E2",Vancouver,V5L 4E2,BC,America/Vancouver,A. Bosa and Company Ltd. Import Euro,aed214941445e0345aa3254805a9e8b8
4ab68343f964a520867720e3,13065,[],199,49.280874,-123.063346,CA,at Semlin Dr.,"2010 Hastings St E (at Semlin Dr.), Vancouver BC V5L 1T8",Vancouver,V5L 1T8,BC,America/Vancouver,On Lok Restaurant & Wun Tun House,aed214941445e0345aa3254805a9e8b8
4ca8e7f2d971b1f7a76d19e1,13065,[],146,49.281498,-123.066077,CA,Victoria Street,"1895 Hastings St E (Victoria Street), Vancouver BC V5L 1T3",Vancouver,V5L 1T3,BC,America/Vancouver,Pelican Seafood Restaurant,aed214941445e0345aa3254805a9e8b8
a32d11a2e5f84ae28aa1a58a,13065,[],146,49.28142,-123.065097,CA,,"1909E Hastings St E, Vancouver BC V5L 1T5",Vancouver,V5L 1T5,BC,,Oceanfood Sales Ltd,aed214941445e0345aa3254805a9e8b8
4aa7d40ff964a5206e4d20e3,13065,[],89,49.257306,-123.089824,CA,at Fraser & Kingsway,"663 15th Ave E (at Fraser & Kingsway), Vancouver BC V5T 2R6",Vancouver,V5T 2R6,BC,America/Vancouver,Les Faux Bourgeois,08c7a90bf297fde8c1f1156db13987d4
4f1995afe4b00583e823ffc4,13065,[],115,49.257296,-123.090229,CA,at Kingsway,"639 15th Ave E (at Kingsway), Vancouver BC V5T 2R6",Vancouver,V5T 2R6,BC,America/Vancouver,Matchstick Coffee,08c7a90bf297fde8c1f1156db13987d4
4f21e016e4b0c41c4ffda0ab,13065,[],115,49.257337,-123.090395,CA,at Kingsway,"633 15th Ave E (at Kingsway), Vancouver BC V5T 3K5",Vancouver,V5T 3K5,BC,America/Vancouver,The Gluten Free Epicurean,08c7a90bf297fde8c1f1156db13987d4
55fcdcd7498e3e59b7c5dd60,13065,[],120,49.257445,-123.091053,CA,Fraser,"615 Kingsway (Fraser), Vancouver BC V5T 3K5",Vancouver,V5T 3K5,BC,America/Vancouver,Osteria Savio Volpe,08c7a90bf297fde8c1f1156db13987d4
4f9360d7e4b0ab5f0a03510d,13065,[],117,49.256878,-123.08922,CA,at Fraser St,"701 Kingsway (at Fraser St), Vancouver BC V5T 3K6",Vancouver,V5T 3K6,BC,America/Vancouver,Sal y Limon,08c7a90bf297fde8c1f1156db13987d4
